book_name,writer_name,count(*)
আনন্দমঠ,Bankim Chandra,5
ইন্দিরা,Bankim Chandra,5
কপালকুণ্ডলা,Bankim Chandra,4
কৃষ্ণকান্তের উইল,Bankim Chandra,9
চন্দ্রশেখর,Bankim Chandra,7
দুর্গেশনন্দিনী,Bankim Chandra,8
দেবী চৌধুরাণী,Bankim Chandra,8
বিষবৃক্ষ,Bankim Chandra,5
মৃণালিনী,Bankim Chandra,4
যুগলাঙ্গুরীয়,Bankim Chandra,10
রজনী,Bankim Chandra,5
রাজসিংহ,Bankim Chandra,65
রাধারাণী,Bankim Chandra,8
সীতারাম,Bankim Chandra,11
০১ কমলাকান্তের দপ্তর,Bankim Chandra,14
০২ কমলাকান্তের পত্র,Bankim Chandra,5
০৩ কমলাকান্তের জোবানবন্দী,Bankim Chandra,1
১ম খণ্ড (উপক্রমণিকা),Bankim Chandra,17
২য় খণ্ড (বৃন্দাবন),Bankim Chandra,10
৩য় খণ্ড (মথুরা-দ্বারকা),Bankim Chandra,7
৪র্থ খণ্ড (ইন্দ্রপ্রস্থ),Bankim Chandra,11
৫ম খণ্ড (উপপ্নব্য),Bankim Chandra,9
৬ষ্ঠ খণ্ড (কুরুক্ষেত্র),Bankim Chandra,12
৭ম খণ্ড (প্রভাস),Bankim Chandra,2
৮ পরিশিষ্ট,Bankim Chandra,1
অঁহক,Humayun Ahmed,4
অচিনপুর,Humayun Ahmed,13
অদ্ভুত সব গল্প,Humayun Ahmed,5
অনন্ত অম্বরে,Humayun Ahmed,15
অনন্ত নক্ষত্রবীথি (১৯৮৮),Humayun Ahmed,11
অনিল বাগচির একদিন,Humayun Ahmed,9
অনীশ – মিসির আলি,Humayun Ahmed,8
অন্ধকারের গান (১৯৯৭),Humayun Ahmed,18
অন্য ভুবন – মিসির আলি,Humayun Ahmed,12
অন্যদিন,Humayun Ahmed,8
অপরাহ্ন,Humayun Ahmed,14
অপেক্ষা,Humayun Ahmed,22
অয়োময়,Humayun Ahmed,7
